"sale_year","sale_month","cat1_name","goods_season","goods_num","sale_amount","origin_amount","settel_amount"
2013,2,"L连衣裙","4-冬",17,1.93,3.46,1.93
2013,2,"M棉衣","1-春",109,1.43,14.32,1.43
2013,2,"M棉衣","4-冬",238,20.72,52.27,20.72
2013,2,"N牛仔裤","1-春",87,6.22,10,6.22
2013,2,"N牛仔裤","2-夏",3,0.06,0.27,0.06
2013,2,"N牛仔裤","3-秋",128,5.45,15.47,5.45
2013,2,"N牛仔裤","4-冬",125,5.83,14.9,5.83
2013,2,"P皮衣","1-春",9,3.59,4.9,3.59
2013,2,"P皮衣","3-秋",13,3.24,8.36,3.24
2013,2,"P皮衣","4-冬",20,9.33,17.57,9.33
2013,2,"Q腰裙","1-春",12,0.43,0.87,0.43
2013,2,"Q腰裙","3-秋",14,0.21,1.06,0.21
2013,2,"Q腰裙","4-冬",17,1.05,1.43,1.05
2013,2,"S饰品","1-春",28,0.99,1.49,0.99
2013,2,"S饰品","2-夏",7,0.18,0.23,0.18
2013,2,"S饰品","3-秋",23,0.68,1.23,0.68
2013,2,"S饰品","4-冬",29,1.92,3.5,1.92
2013,2,"T恤","1-春",103,3.49,7.21,3.49
2013,2,"T恤","2-夏",34,1,2.57,1
2013,2,"T恤","3-秋",31,0.51,1.78,0.51
2013,2,"T恤","4-冬",1,0.03,0.11,0.03
2013,2,"W外套","1-春",67,5.61,9.67,5.61
2013,2,"W外套","3-秋",229,12.01,42.04,12.01
2013,2,"W外套","4-冬",81,10.13,19.38,10.13
2013,2,"X西装","1-春",58,5.26,7.18,5.26
2013,2,"X西装","3-秋",55,2.85,8.62,2.85
2013,2,"X西装","4-冬",2,0.07,0.36,0.07
2013,2,"Y羽绒服","4-冬",393,54.86,124.89,54.86
2013,2,"Z赠品","1-春",30,0,0.57,0
2013,3,"女装","1-春",3760,60.48,291.68,60.48
2013,3,"女装","3-秋",63,2.18,7.97,2.18
2013,3,"女装","5-未定义",3,0.04,0.2,0.04
2013,3,"未定义","4-冬",12,0.31,3.18,0.31
2013,3,"未定义","5-未定义",115,2.39,10.09,2.39
2013,3,"A针织衫","1-春",176,12.28,21.54,12.28
2013,3,"A针织衫","2-夏",5,0.25,0.62,0.25
2013,3,"A针织衫","3-秋",207,10.44,27.38,10.44
2013,3,"A针织衫","4-冬",124,8.45,19.8,8.45
2013,3,"B背心","1-春",8,0.24,1.03,0.24
2013,3,"B背心","2-夏",33,0.91,2.47,0.91
2013,3,"B背心","3-秋",114,0.79,1.87,0.79
2013,3,"C衬衣","1-春",184,14.18,19.95,14.18
2013,3,"C衬衣","2-夏",187,8.35,20.43,8.35
2013,3,"C衬衣","3-秋",114,4.83,12.64,4.83
2013,3,"D大衣","4-冬",41,4.78,11.71,4.78
2013,3,"E上衣","1-春",35,2.88,3.31,2.88
2013,3,"E上衣","2-夏",85,5.47,8.99,5.47
2013,3,"E上衣","3-秋",1,0.07,0.18,0.07
2013,3,"E上衣","4-冬",2,0.17,0.31,0.17
2013,3,"F风衣","1-春",50,4.15,7.62,4.15
2013,3,"F风衣","3-秋",22,2.24,4.73,2.24
2013,3,"F风衣","4-冬",7,1.3,2.03,1.3
2013,3,"G皮草","4-冬",1,0.56,1.7,0.56
2013,3,"H打底裤","1-春",67,3.51,4.31,3.51
2013,3,"H打底裤","2-夏",30,1.11,1.71,1.11
2013,3,"H打底裤","3-秋",33,0.38,1.79,0.38
2013,3,"H打底裤","4-冬",4,0.05,0.18,0.05
2013,3,"J马夹","1-春",1,0.03,0.07,0.03
2013,3,"J马夹","2-夏",10,0.45,0.94,0.45
2013,3,"J马夹","3-秋",24,0.76,2.5,0.76
2013,3,"K梭织裤","1-春",253,14.75,22.22,14.75
2013,3,"K梭织裤","2-夏",95,3.76,7.46,3.76
2013,3,"K梭织裤","3-秋",111,4.7,11.15,4.7
2013,3,"K梭织裤","4-冬",60,2.96,6.7,2.96
2013,3,"L连衣裙","1-春",312,31.04,40.41,31.04
2013,3,"L连衣裙","2-夏",431,24.83,67.4,24.83
2013,3,"L连衣裙","3-秋",85,3.91,11.68,3.91
2013,3,"L连衣裙","4-冬",2,0.21,0.4,0.21
2013,3,"M棉衣","1-春",9,0.11,1.17,0.11
2013,3,"M棉衣","4-冬",64,5.52,14.87,5.52
2013,3,"N牛仔裤","1-春",123,6.72,12.82,6.72
2013,3,"N牛仔裤","2-夏",67,3.46,6.92,3.46
2013,3,"N牛仔裤","3-秋",110,4.96,12.94,4.96
2013,3,"N牛仔裤","4-冬",58,2.77,6.7,2.77
2013,3,"P皮衣","1-春",10,3.81,5.66,3.81
2013,3,"P皮衣","3-秋",11,2.43,7,2.43
2013,3,"P皮衣","4-冬",4,1.66,2.9,1.66
2013,3,"Q腰裙","1-春",9,0.48,0.65,0.48
2013,3,"Q腰裙","2-夏",13,0.76,1.51,0.76
2013,3,"Q腰裙","3-秋",15,0.18,1.14,0.18
2013,3,"Q腰裙","4-冬",3,0.16,0.26,0.16
2013,3,"S饰品","1-春",31,1.24,1.59,1.24
2013,3,"S饰品","2-夏",3,0.09,0.1,0.09
2013,3,"S饰品","3-秋",19,0.92,1.46,0.92
2013,3,"S饰品","4-冬",1,0.07,0.12,0.07
2013,3,"T恤","1-春",222,8.4,14.94,8.4
2013,3,"T恤","2-夏",724,19.81,55.35,19.81
2013,3,"T恤","3-秋",213,5.06,14.86,5.06
2013,3,"T恤","4-冬",5,0.16,0.55,0.16
2013,3,"W外套","1-春",150,10.05,20.9,10.05
2013,3,"W外套","2-夏",36,0.87,3.02,0.87
2013,3,"W外套","3-秋",118,6.56,19.31,6.56
2013,3,"W外套","4-冬",24,2.62,5.92,2.62
2013,3,"X西装","1-春",98,9.15,12.06,9.15
2013,3,"X西装","3-秋",54,2.7,7.66,2.7
2013,3,"Y羽绒服","4-冬",114,9.68,28.93,9.68
2013,4,"女装","1-春",782,14.28,62.38,14.28
2013,4,"女装","3-秋",40,1.16,4.28,1.16
2013,4,"未定义","5-未定义",38,0.74,3.13,0.74
2013,4,"A针织衫","1-春",82,5.65,9.51,5.65
2013,4,"A针织衫","2-夏",15,0.84,1.87,0.84
2013,4,"A针织衫","3-秋",95,3.45,11.36,3.45
2013,4,"A针织衫","4-冬",-42,-2.74,-7.49,-2.74
2013,4,"B背心","1-春",3,0.12,0.36,0.12
2013,4,"B背心","2-夏",55,1.72,4.19,1.72
2013,4,"B背心","3-秋",55,1.04,1.64,1.04
2013,4,"C衬衣","1-春",118,8.19,12.79,8.19
2013,4,"C衬衣","2-夏",327,16.22,31.68,16.22
2013,4,"C衬衣","3-秋",77,3.7,9.18,3.7
2013,4,"D大衣","4-冬",-19,-2,-5.98,-2
2013,4,"E上衣","1-春",12,1.15,1.22,1.15
2013,4,"E上衣","2-夏",208,13.83,21.81,13.83
2013,4,"E上衣","3-秋",1,0.08,0.18,0.08
2013,4,"E上衣","4-冬",-2,-0.02,-0.29,-0.02
